band t mag emag
B 0.00415509259259 19.48 0.280713376952
B 0.00415509259259 19.46 0.280713376952
U 0.00791666666667 19.07 0.330605505096
W 0.00847222222222 19.58 0.233452350599
B 0.00960648148148 19.26 0.230867927612
V 0.0119907407407 18.82 0.290172362571
U 0.0149189814815 18.82 0.280713376952
W 0.015474537037 19.21 0.312569992162
U 0.0168634259259 19.3 0.370540146273
UW2 0.0176967592593 19.17 0.351283361405
U 0.0188078703704 18.99 0.31064449134
U 0.0188078703704 19.17 0.351283361405
UW2 0.0196412037037 19.19 0.361247837364
UM2 0.0201967592593 18.7 0.361247837364
UW1 0.020474537037 18.97 0.331360830516
U 0.0207523148148 18.97 0.331360830516
U 0.0207523148148 19.19 0.361247837364
U 0.0207523148148 18.9 0.320624390838
UW2 0.0215856481481 19.13 0.351283361405
UW1 0.0224189814815 18.79 0.301496268634
U 0.0226967592593 18.95 0.31064449134
U 0.0226967592593 18.79 0.301496268634
U 0.0226967592593 19.13 0.351283361405
U 0.0226967592593 18.7 0.361247837364
UW2 0.0235300925926 18.66 0.291547594742
UW1 0.0243634259259 18.57 0.281602556807
U 0.0246296296296 18.67 0.270739727414
U 0.0246296296296 18.57 0.281602556807
U 0.0246296296296 18.66 0.291547594742
W 0.0251851851852 18.09 0.322490309932
UW2 0.025474537037 19.1 0.341320963318
U 0.0265740740741 19.1 0.341320963318
U 0.0265740740741 18.5 0.25079872408
UW2 0.0274074074074 18.94 0.3214031736
U 0.0285069444444 18.93 0.300665927567
U 0.0285069444444 18.94 0.3214031736
UW1 0.0301851851852 18.61 0.281602556807
U 0.0304513888889 18.65 0.300665927567
U 0.0304513888889 18.61 0.281602556807
UW2 0.0313425925926 18.44 0.291547594742
UM2 0.0688541666667 18.67 0.133416640641
UW1 0.0712268518519 18.53 0.11401754251
U 0.073587962963 18.53 0.11401754251
U 0.073587962963 18.44 0.291547594742
U 0.073587962963 18.38 0.111803398875
B 0.0759606481481 18.35 0.181107702763
W 0.0783217592593 18.39 0.0894427191
UW2 0.0807060185185 18.29 0.11401754251
V 0.0830671296296 18.71 0.320156211872
UM2 0.0854282407407 18.5 0.133416640641
UW1 0.0878009259259 18.37 0.104403065089
U 0.090162037037 18.37 0.104403065089
U 0.090162037037 18.29 0.11401754251
U 0.090162037037 18.67 0.133416640641
U 0.090162037037 18.26 0.0921954445729
B 0.0925347222222 18.38 0.111803398875
W 0.0949074074074 18.35 0.0894427191
UW2 0.0972800925926 18.1 0.133416640641
V 0.1353125 18.17 0.240208242989
V 0.137951388889 18.23 0.250199920064
V 0.140590277778 17.95 0.180277563773
V 0.143229166667 18.12 0.190262975904
UM2 0.14587962963 18.1 0.104403065089
UM2 0.148518518519 18.12 0.11401754251
UM2 0.151157407407 18.09 0.104403065089
UM2 0.153796296296 18.07 0.104403065089
UW1 0.156458333333 17.97 0.0948683298051
UW1 0.159097222222 17.96 0.0948683298051
UW1 0.161736111111 18.02 0.0948683298051
UW1 0.164375 18.06 0.104403065089
UW2 0.202268518519 17.84 0.104403065089
UW2 0.204907407407 17.76 0.104403065089
UW2 0.207546296296 17.65 0.104403065089
UW2 0.210185185185 17.78 0.104403065089
V 0.212835648148 17.92 0.160312195419
V 0.215474537037 18.09 0.180277563773
V 0.218113425926 17.83 0.150332963784
V 0.220752314815 17.94 0.160312195419
UM2 0.223414351852 17.96 0.104403065089
UM2 0.226053240741 17.96 0.104403065089
UM2 0.228680555556 18.04 0.104403065089
UM2 0.231319444444 18.05 0.123693168769
B 0.269224537037 17.63 0.0824621125124
B 0.271863425926 17.82 0.0921954445729
B 0.274502314815 17.82 0.0824621125124
B 0.27712962963 17.68 0.0728010988928
W 0.279791666667 17.55 0.05
W 0.282430555556 17.59 0.05
W 0.285069444444 17.61 0.05
