#date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2020 Jan 05",2458854.0274,"g", 99.0, 99.0,99.0, 20.76,"P48+ZTF","1","None","None",True,True
"2020 Jan 05",2458854.0549,"r", 99.0, 99.0,99.0, 20.65,"P48+ZTF","1","None","None",True,True
"2020 Jan 07",2458855.9083,"i", 99.0, 99.0,99.0, 19.26,"P48+ZTF","2","None","None",True,True
"2020 Jan 07",2458855.9336,"g", 99.0, 99.0,99.0, 19.40,"P48+ZTF","2","None","None",True,True
"2020 Jan 07",2458855.9546,"g", 99.0, 99.0,99.0, 19.40,"P48+ZTF","2","None","None",True,True
"2020 Jan 07",2458856.0455,"r", 99.0, 99.0,99.0, 20.53,"P48+ZTF","2","None","None",True,True
"2020 Jan 08",2458856.8988,"g", 99.0, 99.0,99.0, 19.31,"P48+ZTF","2","None","None",True,True
"2020 Jan 08",2458856.9030,"r", 99.0, 99.0,99.0, 19.84,"P48+ZTF","2","None","None",True,True
"2020 Jan 08",2458857.0576,"g", 99.0, 99.0,99.0, 20.64,"P48+ZTF","1","None","None",True,True
"2020 Jan 08",2458857.0730,"r", 99.0, 99.0,99.0, 20.29,"P48+ZTF","1","None","None",True,True
"2020 Jan 08",2458857.0739,"r", 99.0, 99.0,99.0, 20.28,"P48+ZTF","2","None","None",True,True
"2020 Jan 11",2458859.9680,"r", 99.0, 99.0,99.0, 19.62,"P48+ZTF","1","None","None",True,True
"2020 Jan 12",2458860.8837,"r", 99.0, 99.0,99.0, 18.91,"P48+ZTF","2","None","None",True,True
"2020 Jan 13",2458861.9076,"i", 99.0, 99.0,99.0, 19.19,"P48+ZTF","2","None","None",True,True
"2020 Jan 13",2458861.9309,"i", 99.0, 99.0,99.0, 19.38,"P48+ZTF","2","None","None",True,True
"2020 Jan 13",2458861.9914,"g", 99.0, 99.0,99.0, 19.23,"P48+ZTF","2","None","None",True,True
"2020 Jan 13",2458862.0185,"g", 99.0, 99.0,99.0, 19.33,"P48+ZTF","2","None","None",True,True
"2020 Jan 14",2458862.8883,"r", 99.0, 99.0,99.0, 19.16,"P48+ZTF","2","None","None",True,True
"2020 Jan 14",2458862.9051,"r", 99.0, 99.0,99.0, 19.15,"P48+ZTF","2","None","None",True,True
"2020 Jan 14",2458862.9774,"g", 99.0, 99.0,99.0, 19.58,"P48+ZTF","2","None","None",True,True
"2020 Jan 14",2458862.9950,"g", 99.0, 99.0,99.0, 19.78,"P48+ZTF","2","None","None",True,True
"2020 Jan 14",2458863.0418,"i", 99.0, 99.0,99.0, 19.97,"P48+ZTF","2","None","None",True,True
"2020 Jan 14",2458863.0468,"i", 99.0, 99.0,99.0, 20.24,"P48+ZTF","2","None","None",True,True
